id,batch_id,user_id,name,actionable_type,actionable_id,target_type,target_id,model_type,model_id,fields,status,exception,created_at,updated_at,original,changes
1,9cf2c8f5-b769-4d3c-9055-8359a18bc744,2,Create,App\Models\Bot,1,App\Models\Bot,1,App\Models\Bot,1.0,,finished,,2024-09-07 02:34:35,2024-09-07 02:34:35,,"{""name"":""Airport"",""phone_number"":""0710245525"",""phone_number_id"":""401755166354530"",""access_token"":""EAAIaUOluvNEBO9Dw3n4njyZBzOC66ZA15wYS8agm6Fq4xMNEzoJcUpaYvh9kI1u75yAWZB2blwk3IVhT0bFfOcbyRvdfdHOT7OOGuzkEZAGxmwLLldEHGoo9VrHwh7t2gU5tKqa5QZCIjVqEOZAHImEMElImTbJbMAUEU4aEKwUFuMpAxTabZA31ZBYZBzdSMC6ZAgYPScSx8Y9RKBwUN0GbowEjQjTvYODRmjxxJvUXTa"",""status"":true,""updated_at"":""2024-09-06T23:34:35.000000Z"",""created_at"":""2024-09-06T23:34:35.000000Z"",""id"":1}"
2,9cf2c989-66f7-4196-8b63-e91613541221,2,Create,App\Models\Bot,2,App\Models\Bot,2,App\Models\Bot,2.0,,finished,,2024-09-07 02:36:12,2024-09-07 02:36:12,,"{""name"":""Restaurant"",""phone_number"":""0546690002"",""phone_number_id"":""458131194039439"",""access_token"":""EAAL3iLldX6YBOwkgb13mMuXxuGkDuwO61z34k50A4y9kQZBfh42ogb8wuxRZANI5siO6wqmGSqELqs2VmSrqp2T8hZCLNZCofyHCiVq7ZB5KWZCQHDfa5Dh5FQMDZCaCkIiuxmNoYRULdQpkGcvZAeZBvu8UYCq8beQpPOCI7jgxXjXBWizKhthCz8mNg2EVTJYF7vYeK5Kunyr3jXZCAZCG05hbkVRGAtvaC6gooe8Pxgp"",""status"":true,""updated_at"":""2024-09-06T23:36:12.000000Z"",""created_at"":""2024-09-06T23:36:12.000000Z"",""id"":2}"
3,9cf2d052-075d-4a99-b415-847bc803c5d0,2,Update,App\Models\Bot,1,App\Models\Bot,1,App\Models\Bot,1.0,,finished,,2024-09-07 02:55:10,2024-09-07 02:55:10,"{""access_token"":""EAAIaUOluvNEBO9Dw3n4njyZBzOC66ZA15wYS8agm6Fq4xMNEzoJcUpaYvh9kI1u75yAWZB2blwk3IVhT0bFfOcbyRvdfdHOT7OOGuzkEZAGxmwLLldEHGoo9VrHwh7t2gU5tKqa5QZCIjVqEOZAHImEMElImTbJbMAUEU4aEKwUFuMpAxTabZA31ZBYZBzdSMC6ZAgYPScSx8Y9RKBwUN0GbowEjQjTvYODRmjxxJvUXTa"",""status"":1}","{""access_token"":""EAAIaUOluvNEBO7mSLZC9SXcYsYVDS6Obs3t0gpzfe1XumsVIbyRgjxkh0qMnzPTPlmYagMm8L5JWwLvh8mCbpiOePA0hZCelnyKsEJ8go7rYvs67dlC9pGDXgZBz5vzB37QcXIxrm32x1vpjOiiLeYYYuDwQV20zz4sV81zWdmLKH9T0loYVASuPupZA88zYNcC6NV1Y0vw7Bot9pQn7qESZAiYZCPRrFIp5TEkEgtFwZDZD"",""status"":true}"
4,9cf2d809-b9ba-48d9-a748-02f7a14d3098,2,Create,App\Models\Category,1,App\Models\Category,1,App\Models\Category,1.0,,finished,,2024-09-07 03:16:45,2024-09-07 03:16:45,,"{""name"":""Restaurant"",""updated_at"":""2024-09-07T00:16:45.000000Z"",""created_at"":""2024-09-07T00:16:45.000000Z"",""id"":1}"
5,9cf2d811-e552-41df-b191-b31a4a248b73,2,Create,App\Models\Category,2,App\Models\Category,2,App\Models\Category,2.0,,finished,,2024-09-07 03:16:50,2024-09-07 03:16:50,,"{""name"":""Airport"",""updated_at"":""2024-09-07T00:16:50.000000Z"",""created_at"":""2024-09-07T00:16:50.000000Z"",""id"":2}"
7,9cf2da65-50e5-4dc0-bf22-a87c15bbabdb,2,Update,App\Models\Bot,2,App\Models\Bot,2,App\Models\Bot,2.0,,finished,,2024-09-07 03:23:20,2024-09-07 03:23:20,"{""name"":""Restaurant"",""status"":1,""category_id"":0}","{""name"":""Em Sherif"",""status"":true,""category_id"":1}"
8,9cf2da79-85ad-48bb-b165-7e72fcbe309d,2,Update,App\Models\Bot,2,App\Models\Bot,2,App\Models\Bot,2.0,,finished,,2024-09-07 03:23:34,2024-09-07 03:23:34,"{""status"":1,""main_language"":""""}","{""status"":true,""main_language"":""French""}"
9,9cf2da93-639d-495f-9fb4-5bd906fca326,2,Update,App\Models\Bot,1,App\Models\Bot,1,App\Models\Bot,1.0,,finished,,2024-09-07 03:23:51,2024-09-07 03:23:51,"{""status"":1,""category_id"":0,""main_language"":""""}","{""status"":true,""category_id"":2,""main_language"":""English""}"
10,9cf3d3ea-2f6a-4075-b324-64f9f73962e3,2,Update,App\Models\Bot,2,App\Models\Bot,2,App\Models\Bot,2.0,,finished,,2024-09-07 15:01:03,2024-09-07 15:01:03,"{""status"":1,""main_location"":null}","{""status"":true,""main_location"":""Rue Paul Langevin, Abidjan; https:\/\/maps.app.goo.gl\/Xr1jioFSgB73spuc7""}"
11,9cf3d42c-204f-4f28-96ec-7f606f56d639,2,Update,App\Models\Bot,2,App\Models\Bot,2,App\Models\Bot,2.0,,finished,,2024-09-07 15:01:46,2024-09-07 15:01:46,"{""status"":1,""opening_hours"":null}","{""status"":true,""opening_hours"":""Saturday\r\n12\u201311:30\u202fPM\r\nSunday\r\n12\u201311:30\u202fPM\r\nMonday\r\n12\u201311:30\u202fPM\r\nTuesday\r\n12\u201311:30\u202fPM\r\nWednesday\r\n12\u201311:30\u202fPM\r\nThursday\r\n12\u201311:30\u202fPM\r\nFriday\r\n12\u201311:30\u202fPM""}"
12,9cf3d8ed-07a9-451b-afbf-eb82c4bfcbce,2,Update,App\Models\Bot,2,App\Models\Bot,2,App\Models\Bot,2.0,,finished,,2024-09-07 15:15:03,2024-09-07 15:15:03,"{""access_token"":""EAAL3iLldX6YBOwkgb13mMuXxuGkDuwO61z34k50A4y9kQZBfh42ogb8wuxRZANI5siO6wqmGSqELqs2VmSrqp2T8hZCLNZCofyHCiVq7ZB5KWZCQHDfa5Dh5FQMDZCaCkIiuxmNoYRULdQpkGcvZAeZBvu8UYCq8beQpPOCI7jgxXjXBWizKhthCz8mNg2EVTJYF7vYeK5Kunyr3jXZCAZCG05hbkVRGAtvaC6gooe8Pxgp"",""status"":1}","{""access_token"":""EAAL3iLldX6YBO5sEIWCMby7ViaRHmDbF3GAZCSd8ZBAYEanL0lhSbZCkdlP0KnV8avt49jMr19ip4oVPpStZAyog4Vlwiu46iDCRdc4nmBhggdnKPLlgvZCgEGeE3S66rpOnZBJFjZACUDQQwtZAN8PbCcRGMSDGe5zlBMqMlEpzvZBCCqmLgNikllOx8Hr06yDsTNj7ZC6cus91cImjC71qRgGbIcJuZAk9ZBlqNWgVDb3r"",""status"":true}"
13,9cf3d918-1b54-4745-aefe-e3ca36a7d58e,2,Update,App\Models\Bot,2,App\Models\Bot,2,App\Models\Bot,2.0,,finished,,2024-09-07 15:15:32,2024-09-07 15:15:32,"{""status"":1,""opening_hours"":""Saturday\r\n12\u201311:30\u202fPM\r\nSunday\r\n12\u201311:30\u202fPM\r\nMonday\r\n12\u201311:30\u202fPM\r\nTuesday\r\n12\u201311:30\u202fPM\r\nWednesday\r\n12\u201311:30\u202fPM\r\nThursday\r\n12\u201311:30\u202fPM\r\nFriday\r\n12\u201311:30\u202fPM""}","{""status"":true,""opening_hours"":""everyday 12\u201311:30\u202fPM""}"
14,9cf41acf-4f15-44cb-8d88-a5df24c3970b,2,Update,App\Models\Bot,2,App\Models\Bot,2,App\Models\Bot,2.0,,finished,,2024-09-07 18:19:17,2024-09-07 18:19:17,"{""access_token"":""EAAL3iLldX6YBO5sEIWCMby7ViaRHmDbF3GAZCSd8ZBAYEanL0lhSbZCkdlP0KnV8avt49jMr19ip4oVPpStZAyog4Vlwiu46iDCRdc4nmBhggdnKPLlgvZCgEGeE3S66rpOnZBJFjZACUDQQwtZAN8PbCcRGMSDGe5zlBMqMlEpzvZBCCqmLgNikllOx8Hr06yDsTNj7ZC6cus91cImjC71qRgGbIcJuZAk9ZBlqNWgVDb3r"",""status"":1}","{""access_token"":""EAAL3iLldX6YBO55oDWCWujK49kaqcmRFvCasI1lPxKIZCZB6kdoXKue8ljzC302qL0ENe73srZB4DzE6i7BGI3VAPTRww3bZA9x8Yy5xWzAwdzXCGrhKZAfLZCrCmruUVR1MxpB3MCzoN9FOSepo1ZB2QTEprLpGElzxibKLInPRxkcsyaVZBCixEgKUHyRmXVdisK9LARDLZBOK0Ax6hjc2z74aXQYYgIfGICKzhd8Op"",""status"":true}"
15,9cf46af6-6663-421e-988e-fd3ee924742f,2,Delete,App\Models\Chat,649,App\Models\Chat,649,App\Models\Chat,649.0,,finished,,2024-09-07 22:03:24,2024-09-07 22:03:24,,
16,9cf472d3-4498-4279-9a00-a1b9b78d9f1d,2,Create,App\Models\Flow,1,App\Models\Flow,1,App\Models\Flow,1.0,,finished,,2024-09-07 22:25:24,2024-09-07 22:25:24,,"{""bot_id"":2,""name"":""Welcome Flow of Em Sherif"",""description"":""Welcome Flow"",""updated_at"":""2024-09-07T19:25:24.000000Z"",""created_at"":""2024-09-07T19:25:24.000000Z"",""id"":1}"
